2024-11-03 12:35:17,093 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 375.15}
2024-11-03 12:35:22,095 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 699.25}
2024-11-03 12:35:27,106 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 8.39}
2024-11-03 12:35:32,124 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 654.48}
2024-11-03 12:35:37,141 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 287.99}
2024-11-03 12:35:42,160 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 801.35}
2024-11-03 12:35:47,175 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 241.58}
2024-11-03 17:34:18,672 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 711.51}
2024-11-03 17:34:23,691 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 194.62}
2024-11-03 17:34:28,712 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 967.75}
2024-11-03 18:18:07,400 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 104.48}
2024-11-03 18:18:12,410 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 324.64}
2024-11-03 18:18:17,428 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 963.87}
2024-11-03 18:18:22,446 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 867.53}
2024-11-03 18:18:27,461 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 311.67}
2024-11-03 18:18:32,474 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 279.7}
