2024-10-30 19:45:47,571 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 935.3}
2024-10-30 19:45:52,574 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 42.96}
2024-10-30 19:45:57,584 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 176.71}
2024-10-30 19:46:02,595 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 360.89}
2024-10-30 19:46:07,620 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 823.61}
2024-10-30 19:46:12,639 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 641.38}
2024-10-30 19:46:49,546 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 348.39}
2024-10-30 19:46:54,550 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 15.5}
2024-10-30 19:46:59,560 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 989.47}
2024-11-03 12:35:17,092 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 49.63}
2024-11-03 12:35:22,095 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 983.06}
2024-11-03 12:35:27,103 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 697.16}
2024-11-03 12:35:32,116 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 732.26}
2024-11-03 12:35:37,128 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 322.37}
2024-11-03 12:35:42,146 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 723.73}
2024-11-03 12:35:47,165 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 461.07}
2024-11-03 17:34:18,672 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 674.1}
2024-11-03 17:34:23,685 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 503.41}
2024-11-03 17:34:28,704 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 42.15}
2024-11-03 18:18:07,398 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 784.02}
2024-11-03 18:18:12,407 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 916.09}
2024-11-03 18:18:17,424 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 672.38}
2024-11-03 18:18:22,443 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 720.11}
2024-11-03 18:18:27,459 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 249.6}
2024-11-03 18:18:32,469 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 366.86}
2024-11-03 18:18:37,477 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 10.53}
