2024-10-30 19:45:47,571 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 8.59}
2024-10-30 19:45:52,573 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 5.6}
2024-10-30 19:45:57,583 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 37.93}
2024-10-30 19:46:02,595 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 37.24}
2024-10-30 19:46:07,612 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 48.15}
2024-10-30 19:46:12,630 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 15.29}
2024-10-30 19:46:49,546 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 5.98}
2024-10-30 19:46:54,549 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 46.31}
2024-10-30 19:46:59,557 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 22.57}
2024-11-03 12:35:17,089 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 3.66}
2024-11-03 12:35:22,095 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 5.61}
2024-11-03 12:35:27,097 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 36.79}
2024-11-03 12:35:32,114 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 13.22}
2024-11-03 12:35:37,128 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 32.29}
2024-11-03 12:35:42,146 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 2.5}
2024-11-03 12:35:47,162 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 13.96}
2024-11-03 17:34:18,670 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 17.92}
2024-11-03 17:34:23,681 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 24.03}
2024-11-03 17:34:28,703 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 35.7}
2024-11-03 18:18:07,397 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 33.89}
2024-11-03 18:18:12,406 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 25.68}
2024-11-03 18:18:17,422 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 37.61}
2024-11-03 18:18:22,441 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 14.92}
2024-11-03 18:18:27,457 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 8.85}
2024-11-03 18:18:32,465 - Sensor_TEMP_001 - INFO - Sensor ID: TEMP_001, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 41.08}
