2024-11-29 09:25:21,118 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Warning, Data: {'vibration': 0.34}
2024-11-29 09:25:26,173 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Warning, Data: {'vibration': 0.88}
2024-11-29 09:25:31,336 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Warning, Data: {'vibration': 0.12}
2024-12-02 20:47:46,084 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.62}
2024-12-02 20:47:51,194 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.27}
2024-12-02 20:47:56,256 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.28}
2024-12-02 20:48:01,339 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.75}
2024-12-02 20:48:06,406 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.21}
2024-12-02 20:48:11,471 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.55}
2024-12-02 20:48:16,556 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.37}
2024-12-02 20:48:21,694 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.96}
2024-12-02 20:48:26,699 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.75}
2024-12-02 20:48:31,782 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.48}
2024-12-02 20:48:36,876 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.19}
2024-12-02 20:48:41,937 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.85}
2024-12-02 20:48:47,009 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.18}
2024-12-02 20:48:52,073 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.09}
2024-12-02 20:48:57,176 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 1.0}
2024-12-02 20:49:02,273 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.37}
2024-12-02 20:49:07,326 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.12}
2024-12-02 20:49:12,398 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.87}
2024-12-02 20:49:17,430 - Sensor_VIBRATION_001 - INFO - Sensor ID: VIBRATION_001, Sensor Type: Vibration, Status: Fault, Data: {'vibration': 0.71}
