2024-09-02 20:14:49,461 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -72.49, 'tilt_y': -75.23}
2024-09-02 20:14:54,469 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 20.02, 'tilt_y': -41.64}
2024-09-02 20:14:59,471 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 81.61, 'tilt_y': -83.45}
2024-09-19 13:21:58,103 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': 11.21, 'tilt_y': 31.96}
2024-09-19 13:22:03,119 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -61.39, 'tilt_y': -2.1}
2024-09-19 13:22:08,129 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': 62.82, 'tilt_y': -85.27}
2024-09-19 14:06:06,498 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -80.58, 'tilt_y': 61.46}
2024-09-19 14:06:11,518 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': 57.49, 'tilt_y': 40.77}
2024-09-19 14:06:16,522 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -38.94, 'tilt_y': 82.21}
2024-09-19 14:06:21,542 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': 79.16, 'tilt_y': -84.31}
2024-09-19 14:06:26,546 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -19.5, 'tilt_y': -71.39}
2024-09-20 09:56:31,354 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Fault, Data: {'tilt_x': -87.77, 'tilt_y': 38.1}
2024-09-20 09:56:36,359 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Fault, Data: {'tilt_x': -10.34, 'tilt_y': 41.92}
2024-09-20 16:01:07,144 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -36.65, 'tilt_y': -87.62}
2024-09-20 16:01:12,152 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 52.23, 'tilt_y': 44.06}
2024-09-20 16:01:17,156 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -30.64, 'tilt_y': -16.05}
2024-09-20 16:01:22,161 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 76.32, 'tilt_y': 16.89}
2024-09-20 16:02:04,875 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -77.89, 'tilt_y': -77.06}
2024-09-20 16:02:09,891 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -10.49, 'tilt_y': -21.43}
2024-09-20 16:02:14,904 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 57.26, 'tilt_y': -27.09}
2024-09-20 16:02:19,918 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -55.26, 'tilt_y': 18.71}
2024-09-20 16:02:24,923 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -85.93, 'tilt_y': 39.4}
2024-09-20 16:02:29,929 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': -9.51, 'tilt_y': 60.44}
2024-09-20 16:02:34,939 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Warning, Data: {'tilt_x': 18.54, 'tilt_y': 0.43}
2024-09-20 16:02:54,303 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -56.12, 'tilt_y': 18.95}
2024-09-20 16:02:59,310 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': 11.78, 'tilt_y': -14.02}
2024-09-20 16:03:04,326 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -79.06, 'tilt_y': -40.4}
2024-09-20 16:03:09,339 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': -47.65, 'tilt_y': 75.48}
2024-09-20 16:03:14,355 - Sensor_TILT_001 - INFO - Sensor ID: TILT_001, Sensor Type: Tilt, Status: Normal, Data: {'tilt_x': 57.5, 'tilt_y': 37.5}
